region	country	station	stationName	latitude	longitude	determinand	detGroup	meanLY	HQS	Contamination ratio	Matrix
Great Belt	Denmark	FYNToroe	Lillebælt Torø	55.26167	9.877	CD	Metals	87.804	137.28	0.639597902	Biota
Great Belt	Denmark	FYNToroe	Lillebælt Torø	55.26167	9.877	HG	Metals	7.5609	20	0.378045	Biota
Great Belt	Denmark	FYNToroe	Lillebælt Torø	55.26167	9.877	PB	Metals	73.17	185.9	0.393598709	Biota
Great Belt	Denmark	FYNToroe	Lillebælt Torø	55.26167	9.877	BAP	PAH (parent)	1.08	5	0.216	Biota
Great Belt	Denmark	FYNToroe	Lillebælt Torø	55.26167	9.877	FLU	PAH (parent)	2.01	30	0.067	Biota
Great Belt	Denmark	FYNWedelsborg	Little Belt Bredningen Wedellsborg	55.3675	9.7855	CD	Metals	1.914	137.28	0.013942308	Biota
Great Belt	Denmark	FYNWedelsborg	Little Belt Bredningen Wedellsborg	55.3675	9.7855	HG	Metals	0.1386	20	0.00693	Biota
Great Belt	Denmark	FYNWedelsborg	Little Belt Bredningen Wedellsborg	55.3675	9.7855	PB	Metals	0.88	185.9	0.004733728	Biota
Great Belt	Denmark	FYNWedelsborg	Little Belt Bredningen Wedellsborg	55.3675	9.7855	BAP	PAH (parent)	0.6	5	0.12	Biota
Great Belt	Denmark	FYNWedelsborg	Little Belt Bredningen Wedellsborg	55.3675	9.7855	FLU	PAH (parent)	2.8	30	0.093333333	Biota
The Sound	Denmark	KBKLYN	The Sound Lynette løbet	55.72633	12.63083	CD	Metals	154.9143869	137.28	1.128455616	Biota
The Sound	Denmark	KBKLYN	The Sound Lynette løbet	55.72633	12.63083	HG	Metals	60.16115388	20	3.008057694	Biota
The Sound	Denmark	KBKLYN	The Sound Lynette løbet	55.72633	12.63083	PB	Metals	755.2419016	185.9	4.062624538	Biota
The Sound	Denmark	KBKLYN	The Sound Lynette løbet	55.72633	12.63083	BAP	PAH (parent)	0.917108176	5	0.183421635	Biota
The Sound	Denmark	KBKLYN	The Sound Lynette løbet	55.72633	12.63083	FLU	PAH (parent)	3.327320944	30	0.110910698	Biota
Arkona Basin	Denmark	KBKSOEV	The Sound Amager Søvang	55.56967	12.70717	CD	Metals	331.25	137.28	2.412951632	Biota
Arkona Basin	Denmark	KBKSOEV	The Sound Amager Søvang	55.56967	12.70717	HG	Metals	17.25	20	0.8625	Biota
Arkona Basin	Denmark	KBKSOEV	The Sound Amager Søvang	55.56967	12.70717	PB	Metals	275	185.9	1.479289941	Biota
Arkona Basin	Denmark	KBKSOEV	The Sound Amager Søvang	55.56967	12.70717	BAP	PAH (parent)	0.7	5	0.14	Biota
