"Waterbody";"matrix";"substance";"Type";"CR";"Units";"Response";"ConfThresh";"ConfAcc";"Datatype";"ConfTemp";"Area_km2";"Grids";"GridsAssessed";"Stations";"ConfSpatial";"ConfMethod"
"Archipelago Sea Coastal waters";"Biota";"SCB6";"Org";0.395419121;"ug/kg ww fish muscle";"+";"L";"H";"Full";"H";15801.627953195;527;68;63;"H";"H"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";6.62;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;527;13;5;"L";"M"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";10.91;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;527;69;7;"H";"H"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";8;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;527;1;64;"H";"M"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";4.15;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;527;67;71;"M";"M"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";7.67;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;527;32;50;"L";"H"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";9.92;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;527;73;68;"L";"L"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";3.37;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;527;43;5;"L";"H"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";2.5;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;527;56;53;"H";"M"
"Archipelago Sea Coastal waters";"Biota";"SBD6";"Org";1.95;"ug/kg ww fish muscle";"+";"H";"L";"initial";"M";15801.627953195;527;35;9;"L";"H"
"Archipelago Sea Coastal waters";"Biota";"SCB6";"Org";0.02;"ug/kg ww fish muscle";"+";"L";"L";"initial";"M";15801.627953195;527;25;53;"M";"M"
"Archipelago Sea Coastal waters";"Biota";"SDX";"Org";0.01;"teq/kg ww fish muscle, crustacean, mussle";"+";"H";"L";"initial";"M";15801.627953195;527;10;51;"M";"M"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";4;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;527;28;19;"M";"M"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";2;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;527;31;38;"M";"H"
"Archipelago Sea Coastal waters";"Biota";"PFOS";"Org";0.15;"ug/kg ww fish muscle";"+";"H";"L";"initial";"M";15801.627953195;527;77;57;"M";"L"
"Archipelago Sea Coastal waters";"Biota";"SBD6";"Org";2.95;"ug/kg ww fish muscle";"+";"H";"L";"initial";"M";15801.627953195;527;24;64;"M";"M"
"Archipelago Sea Coastal waters";"Biota";"SDX";"Org";0.02;"teq/kg ww fish muscle, crustacean, mussle";"+";"H";"L";"initial";"M";15801.627953195;527;39;29;"L";"M"
"Arkona Basin - open sea";"Biota";"BAP";"Org";0.31;"ug/kg ww crustacean and molluscs";"+";"H";"H";"Full";"H";13451.1341454;448;17;16;"M";"H"
"Arkona Basin - open sea";"Biota";"CD";"HM";3.616703234;"ug/kg ww mussels";"+";"M";"H";"Full";"H";13451.1341454;448;36;14;"H";"M"
"Arkona Basin - open sea";"Sediment";"CD";"HM";0.38418646;"mg/kg sediment";"+";"H";"H";"Full";"H";13451.1341454;448;45;39;"H";"H"
"Arkona Basin - open sea";"Water";"CS-137";"Rad";1.76;"Bq/m3";"+";"M";"H";"Full";"H";13451.1341454;448;44;44;"H";"H"
"Arkona Basin - open sea";"Biota";"CS-137";"Rad";0.58;"Bq/kg ww";"+";"M";"H";"Full";"H";13451.1341454;448;23;38;"M";"H"
"Arkona Basin - open sea";"Biota";"CS-137";"Rad";0.94;"Bq/kg ww";"+";"M";"H";"Full";"H";13451.1341454;448;59;58;"L";"H"
"Arkona Basin - open sea";"Biota";"FLU";"Org";0.16;"ug/kg ww crustacean and molluscs";"+";"H";"H";"Full";"H";13451.1341454;448;54;64;"H";"M"
"Arkona Basin - open sea";"Biota";"HBCDD";"Org";0.055567891;"ug/kg ww whole fish";"+";"H";"H";"Full";"H";13451.1341454;448;50;35;"M";"H"
"Arkona Basin - open sea";"Biota";"HG";"HM";1.128899551;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";13451.1341454;448;51;38;"M";"L"
"Arkona Basin - open sea";"Biota";"SCB6";"Org";1.039193982;"ug/kg ww fish muscle";"+";"L";"H";"Full";"H";13451.1341454;448;22;31;"L";"L"
"Arkona Basin - open sea";"Biota";"PB";"HM";1.44284269;"ug/kg ww fish liver - ug/kg dw mussels";"+";"M";"H";"Full";"H";13451.1341454;448;13;7;"L";"H"
"Arkona Basin - open sea";"Sediment";"PB";"HM";1.393407022;"mg/kg";"+";"M";"H";"Full";"H";13451.1341454;448;1;43;"M";"L"
"Arkona Basin - open sea";"Biota";"PFOS";"Org";0.234471738;"ug/g ww whole fish";"+";"H";"H";"Full";"H";13451.1341454;448;36;6;"M";"H"
"Arkona Basin - open sea";"Biota";"SBD6";"Org";432.1394345;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";13451.1341454;448;28;53;"L";"M"
"Arkona Basin - open sea";"Sediment";"ANT";"Org";2;"ug/kg ww sediment";"+";"H";"L";"initial";"M";13451.1341454;448;24;19;"M";"H"
"Arkona Basin - open sea";"Sediment";"ANT";"Org";0.14;"ug/kg ww sediment";"+";"H";"L";"initial";"M";13451.1341454;448;45;30;"M";"H"
"Arkona Basin - open sea";"Biota";"BAP";"Org";0.17;"ug/kg ww mussels";"+";"H";"L";"initial";"M";13451.1341454;448;14;35;"H";"M"
"Arkona Basin - open sea";"Biota";"CD";"HM";1.29;"ug/kg dw mussels";"+";"M";"L";"initial";"M";13451.1341454;448;2;32;"H";"H"
"Arkona Basin - open sea";"Sediment";"CD";"HM";0.3;"mg/kg sediment";"+";"H";"L";"initial";"M";13451.1341454;448;14;53;"L";"H"
"Arkona Basin - open sea";"Sediment";"CD";"HM";0.15;"mg/kg sediment";"+";"H";"L";"initial";"M";13451.1341454;448;62;33;"H";"H"
"Arkona Basin - open sea";"Sediment";"CD";"HM";0.2;"mg/kg sediment";"+";"H";"L";"initial";"M";13451.1341454;448;65;41;"H";"L"
"Arkona Basin - open sea";"Sediment";"CD";"HM";0.2;"mg/kg sediment";"+";"H";"L";"initial";"M";13451.1341454;448;49;24;"H";"M"
"Arkona Basin - open sea";"Water";"CD";"HM";0.42;"ug/l water";"+";"H";"L";"initial";"M";13451.1341454;448;21;11;"H";"L"
"Arkona Basin - open sea";"Biota";"FLU";"Org";0.14;"ug/kg ww mussels";"+";"H";"L";"initial";"M";13451.1341454;448;64;28;"L";"L"
"Arkona Basin - open sea";"Biota";"HG";"HM";0.7;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";13451.1341454;448;43;39;"L";"L"
"Arkona Basin - open sea";"Biota";"HG";"HM";1.1;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";13451.1341454;448;57;38;"L";"H"
"Arkona Basin - open sea";"Biota";"HG";"HM";0.98;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";13451.1341454;448;37;46;"H";"L"
"Arkona Basin - open sea";"Biota";"HG";"HM";0.43;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";13451.1341454;448;3;61;"M";"M"
"Arkona Basin - open sea";"Biota";"PB";"HM";1.51;"ug/kg ww fish liver";"+";"M";"L";"initial";"M";13451.1341454;448;30;51;"H";"L"
"Arkona Basin - open sea";"Biota";"PB";"HM";1.08;"ug/kg ww fish liver";"+";"M";"L";"initial";"M";13451.1341454;448;59;41;"H";"H"
"Arkona Basin - open sea";"Biota";"PB";"HM";0.63;"ug/kg ww fish liver";"+";"M";"L";"initial";"M";13451.1341454;448;18;23;"L";"M"
"Arkona Basin - open sea";"Biota";"PB";"HM";0.44;"ug/kg dw mussels";"+";"M";"L";"initial";"M";13451.1341454;448;53;17;"H";"L"
"Arkona Basin - open sea";"Sediment";"PB";"HM";0.85;"mg/kg sediment";"+";"H";"L";"initial";"M";13451.1341454;448;52;51;"H";"M"
"Arkona Basin - open sea";"Sediment";"PB";"HM";0.22;"mg/kg sediment";"+";"H";"L";"initial";"M";13451.1341454;448;48;63;"H";"H"
"Arkona Basin - open sea";"Sediment";"PB";"HM";0.47;"mg/kg sediment";"+";"H";"L";"initial";"M";13451.1341454;448;42;10;"H";"H"
"Arkona Basin - open sea";"Sediment";"PB";"HM";0.79;"mg/kg sediment";"+";"H";"L";"initial";"M";13451.1341454;448;43;10;"H";"M"
"Arkona Basin - open sea";"Water";"PB";"HM";1.24;"ug/l water";"+";"H";"L";"initial";"M";13451.1341454;448;13;29;"L";"M"
"Arkona Basin - open sea";"Biota";"SBD6";"Org";44.96;"ug/kg ww fish muscle";"+";"H";"L";"initial";"M";13451.1341454;448;9;62;"M";"L"
"Arkona Basin - open sea";"Sediment";"TBTIN";"Org";3055.92;"ug/kg dw sediment";"+";"H";"L";"initial";"M";13451.1341454;448;56;20;"H";"L"
"Arkona Basin - open sea";"Sediment";"TBTIN";"Org";4.34;"ug/kg dw sediment";"+";"H";"L";"initial";"M";13451.1341454;448;12;33;"H";"L"
"Arkona Basin - open sea";"Sediment";"TBTIN";"Org";2.82;"ug/kg dw sediment";"+";"H";"L";"initial";"M";13451.1341454;448;41;58;"L";"L"
"Arkona Basin Danish Coastal waters";"Water";"CS-137";"Rad";1.76;"Bq/m3";"+";"M";"H";"Full";"H";1682.99806139747;56;2;1;"H";"L"
"Arkona Basin Danish Coastal waters";"Biota";"CS-137";"Rad";0.58;"Bq/kg ww";"+";"M";"H";"Full";"H";1682.99806139747;56;8;5;"M";"M"
"Arkona Basin Danish Coastal waters";"Biota";"CS-137";"Rad";0.94;"Bq/kg ww";"+";"M";"H";"Full";"H";1682.99806139747;56;3;5;"H";"H"
"Arkona Basin German Coastal waters";"Biota";"CD";"HM";6.643682353;"ug/kg ww mussels";"+";"M";"H";"Full";"H";1922.7541610098;64;3;9;"H";"M"
"Arkona Basin German Coastal waters";"Sediment";"CD";"HM";0.666719112;"mg/kg sediment";"+";"H";"H";"Full";"H";1922.7541610098;64;6;1;"H";"H"
"Arkona Basin German Coastal waters";"Water";"CS-137";"Rad";1.76;"Bq/m3";"+";"M";"H";"Full";"H";1922.7541610098;64;9;3;"H";"L"
"Arkona Basin German Coastal waters";"Biota";"CS-137";"Rad";0.58;"Bq/kg ww";"+";"M";"H";"Full";"H";1922.7541610098;64;8;8;"H";"L"
"Arkona Basin German Coastal waters";"Biota";"CS-137";"Rad";0.94;"Bq/kg ww";"+";"M";"H";"Full";"H";1922.7541610098;64;2;7;"L";"L"
"Arkona Basin German Coastal waters";"Biota";"HG";"HM";2.344332202;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";1922.7541610098;64;5;2;"H";"H"
"Arkona Basin German Coastal waters";"Biota";"HG";"HM";10.48836767;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";1922.7541610098;64;6;1;"M";"L"
"Arkona Basin German Coastal waters";"Biota";"SCB6";"Org";0.395375872;"ug/kg ww fish muscle";"+";"L";"H";"Full";"H";1922.7541610098;64;0;1;"L";"L"
"Arkona Basin German Coastal waters";"Biota";"PB";"HM";2.760302313;"ug/kg ww fish liver - ug/kg dw mussels";"+";"M";"H";"Full";"H";1922.7541610098;64;8;4;"H";"M"
"Arkona Basin German Coastal waters";"Sediment";"PB";"HM";1.480100325;"mg/kg";"+";"M";"H";"Full";"H";1922.7541610098;64;0;9;"L";"M"
"Arkona Basin German Coastal waters";"Biota";"BAP";"Org";0.26;"ug/kg ww mussels";"+";"H";"L";"initial";"M";1922.7541610098;64;7;1;"H";"L"
"Arkona Basin German Coastal waters";"Water";"CD";"HM";0.59;"ug/l water";"+";"H";"L";"initial";"M";1922.7541610098;64;4;9;"L";"H"
"Arkona Basin German Coastal waters";"Biota";"FLU";"Org";0.12;"ug/kg ww mussels";"+";"H";"L";"initial";"M";1922.7541610098;64;2;5;"M";"L"
"Arkona Basin German Coastal waters";"Biota";"BAP";"Org";0.04;"ug/kg ww mussels";"+";"H";"L";"initial";"M";1922.7541610098;64;3;8;"M";"M"
"Arkona Basin German Coastal waters";"Biota";"CD";"HM";1.6;"ug/kg dw mussels";"+";"M";"L";"initial";"M";1922.7541610098;64;8;8;"H";"H"
"Arkona Basin German Coastal waters";"Sediment";"CD";"HM";0.83;"mg/kg sediment";"+";"H";"L";"initial";"M";1922.7541610098;64;1;7;"M";"H"
"Arkona Basin German Coastal waters";"Water";"CD";"HM";0.46;"ug/l water";"+";"H";"L";"initial";"M";1922.7541610098;64;1;1;"H";"H"
"Arkona Basin German Coastal waters";"Biota";"FLU";"Org";0.03;"ug/kg ww mussels";"+";"H";"L";"initial";"M";1922.7541610098;64;0;4;"M";"L"
"Arkona Basin German Coastal waters";"Biota";"HG";"HM";0.49;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";1922.7541610098;64;6;7;"H";"M"
"Arkona Basin German Coastal waters";"Biota";"PB";"HM";0.73;"ug/kg dw mussels";"+";"M";"L";"initial";"M";1922.7541610098;64;1;7;"H";"M"
"Arkona Basin German Coastal waters";"Sediment";"PB";"HM";0.61;"mg/kg sediment";"+";"H";"L";"initial";"M";1922.7541610098;64;8;9;"L";"M"
"Arkona Basin German Coastal waters";"Water";"PB";"HM";0.23;"ug/l water";"+";"H";"L";"initial";"M";1922.7541610098;64;6;1;"H";"M"
"Arkona Basin Swedish Coastal waters";"Water";"CS-137";"Rad";1.76;"Bq/m3";"+";"M";"H";"Full";"H";999;33;4;3;"H";"H"
"Arkona Basin Swedish Coastal waters";"Biota";"CS-137";"Rad";0.58;"Bq/kg ww";"+";"M";"H";"Full";"H";999;33;3;2;"L";"H"
"Arkona Basin Swedish Coastal waters";"Biota";"CS-137";"Rad";0.94;"Bq/kg ww";"+";"M";"H";"Full";"H";999;33;1;4;"M";"M"
"Bay of Mecklenburg - open sea";"Sediment";"CD";"HM";0.463227901;"mg/kg sediment";"+";"H";"H";"Full";"H";3477.15448975;116;9;5;"H";"L"
"Bay of Mecklenburg - open sea";"Water";"CS-137";"Rad";1.78;"Bq/m3";"+";"M";"H";"Full";"H";3477.15448975;116;14;7;"M";"M"
"Bay of Mecklenburg - open sea";"Biota";"CS-137";"Rad";0.29;"Bq/kg ww";"+";"M";"H";"Full";"H";3477.15448975;116;15;10;"H";"M"
"Bay of Mecklenburg - open sea";"Sediment";"PB";"HM";1.089710194;"mg/kg";"+";"M";"H";"Full";"H";3477.15448975;116;4;9;"H";"H"
"Bay of Mecklenburg - open sea";"Biota";"BAP";"Org";0.1;"ug/kg ww mussels";"+";"H";"L";"initial";"M";3477.15448975;116;5;2;"L";"L"
"Bay of Mecklenburg - open sea";"Biota";"CD";"HM";4.06;"ug/kg dw mussels";"+";"M";"L";"initial";"M";3477.15448975;116;5;11;"H";"H"
"Bay of Mecklenburg - open sea";"Biota";"FLU";"Org";0.09;"ug/kg ww mussels";"+";"H";"L";"initial";"M";3477.15448975;116;5;5;"H";"M"
"Bay of Mecklenburg - open sea";"Biota";"HG";"HM";1.09;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";3477.15448975;116;5;15;"M";"M"
"Bay of Mecklenburg - open sea";"Biota";"PB";"HM";1.77;"ug/kg dw mussels";"+";"M";"L";"initial";"M";3477.15448975;116;13;16;"L";"H"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.16;"ug/kg ww crustacean and molluscs";"+";"H";"H";"Full";"H";8670.51238667587;289;9;37;"L";"H"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.41;"ug/kg ww crustacean and molluscs";"+";"H";"H";"Full";"H";8670.51238667587;289;2;6;"M";"L"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.18;"ug/kg ww crustacean and molluscs";"+";"H";"H";"Full";"H";8670.51238667587;289;3;34;"H";"L"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.21;"ug/kg ww crustacean and molluscs";"+";"H";"H";"Full";"H";8670.51238667587;289;22;30;"L";"H"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.26;"ug/kg ww crustacean and molluscs";"+";"H";"H";"Full";"H";8670.51238667587;289;11;24;"H";"H"
"Belts Danish Coastal waters";"Biota";"CD";"HM";3.428145808;"ug/kg ww mussels";"+";"M";"H";"Full";"H";8670.51238667587;289;43;8;"M";"H"
"Belts Danish Coastal waters";"Biota";"CD";"HM";4.318889462;"ug/kg ww mussels";"+";"M";"H";"Full";"H";8670.51238667587;289;30;29;"H";"H"
"Belts Danish Coastal waters";"Biota";"CD";"HM";4.231054446;"ug/kg ww mussels";"+";"M";"H";"Full";"H";8670.51238667587;289;10;26;"M";"H"
"Belts Danish Coastal waters";"Biota";"CD";"HM";1.377708911;"ug/kg ww mussels";"+";"M";"H";"Full";"H";8670.51238667587;289;25;24;"L";"L"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";1.445541092;"mg/kg sediment";"+";"H";"H";"Full";"H";8670.51238667587;289;25;4;"M";"M"
"Belts Danish Coastal waters";"Biota";"CD";"HM";1.404619337;"ug/kg ww mussels";"+";"M";"H";"Full";"H";8670.51238667587;289;17;16;"M";"L"
"Belts Danish Coastal waters";"Water";"CS-137";"Rad";1.4;"Bq/m3";"+";"M";"H";"Full";"H";8670.51238667587;289;42;38;"M";"M"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.16;"ug/kg ww crustacean and molluscs";"+";"H";"H";"Full";"H";8670.51238667587;289;34;1;"M";"L"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.32;"ug/kg ww crustacean and molluscs";"+";"H";"H";"Full";"H";8670.51238667587;289;28;13;"M";"H"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.22;"ug/kg ww crustacean and molluscs";"+";"H";"H";"Full";"H";8670.51238667587;289;29;34;"M";"L"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.16;"ug/kg ww crustacean and molluscs";"+";"H";"H";"Full";"H";8670.51238667587;289;31;37;"H";"H"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.14;"ug/kg ww crustacean and molluscs";"+";"H";"H";"Full";"H";8670.51238667587;289;40;1;"H";"M"
"Belts Danish Coastal waters";"Biota";"HBCDD";"Org";0.002226309;"ug/kg ww whole fish";"+";"H";"H";"Full";"H";8670.51238667587;289;20;35;"L";"H"
"Belts Danish Coastal waters";"Biota";"HBCDD";"Org";0.004932886;"ug/kg ww whole fish";"+";"H";"H";"Full";"H";8670.51238667587;289;17;19;"H";"H"
"Belts Danish Coastal waters";"Biota";"HG";"HM";1.707068793;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";8670.51238667587;289;25;3;"M";"H"
"Belts Danish Coastal waters";"Biota";"HG";"HM";5.102753817;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";8670.51238667587;289;21;12;"M";"H"
"Belts Danish Coastal waters";"Biota";"HG";"HM";2.005708303;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";8670.51238667587;289;33;1;"M";"L"
"Belts Danish Coastal waters";"Biota";"HG";"HM";1.030773762;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";8670.51238667587;289;26;10;"H";"H"
"Belts Danish Coastal waters";"Biota";"HG";"HM";1.969267421;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";8670.51238667587;289;38;24;"L";"M"
"Belts Danish Coastal waters";"Biota";"SCB6";"Org";2.325493637;"ug/kg ww fish muscle";"+";"L";"H";"Full";"H";8670.51238667587;289;10;24;"M";"H"
"Belts Danish Coastal waters";"Biota";"SCB6";"Org";3.271757594;"ug/kg ww fish muscle";"+";"L";"H";"Full";"H";8670.51238667587;289;17;7;"M";"L"
"Belts Danish Coastal waters";"Biota";"SCB6";"Org";0.888649918;"ug/kg ww fish muscle";"+";"L";"H";"Full";"H";8670.51238667587;289;42;43;"L";"M"
"Belts Danish Coastal waters";"Biota";"SCB6";"Org";2.682073409;"ug/kg ww fish muscle";"+";"L";"H";"Full";"H";8670.51238667587;289;40;6;"M";"H"
"Belts Danish Coastal waters";"Biota";"SCB6";"Org";0.450258422;"ug/kg ww fish muscle";"+";"L";"H";"Full";"H";8670.51238667587;289;26;20;"L";"L"
"Belts Danish Coastal waters";"Biota";"PB";"HM";1.445549092;"ug/kg ww fish liver - ug/kg dw mussels";"+";"M";"H";"Full";"H";8670.51238667587;289;25;10;"H";"M"
"Belts Danish Coastal waters";"Biota";"PB";"HM";4.208572327;"ug/kg ww fish liver - ug/kg dw mussels";"+";"M";"H";"Full";"H";8670.51238667587;289;6;11;"M";"L"
"Belts Danish Coastal waters";"Biota";"PB";"HM";1.634910241;"ug/kg ww fish liver - ug/kg dw mussels";"+";"M";"H";"Full";"H";8670.51238667587;289;25;19;"L";"M"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.628332693;"ug/kg ww fish liver - ug/kg dw mussels";"+";"M";"H";"Full";"H";8670.51238667587;289;27;9;"M";"L"
"Belts Danish Coastal waters";"Sediment";"PB";"HM";0.793873018;"mg/kg";"+";"M";"H";"Full";"H";8670.51238667587;289;41;41;"M";"M"
"Belts Danish Coastal waters";"Biota";"PB";"HM";1.460053781;"ug/kg ww fish liver - ug/kg dw mussels";"+";"M";"H";"Full";"H";8670.51238667587;289;14;25;"H";"H"
"Belts Danish Coastal waters";"Biota";"PFOS";"Org";0.083681419;"ug/g ww whole fish";"+";"H";"H";"Full";"H";8670.51238667587;289;27;41;"H";"L"
"Belts Danish Coastal waters";"Biota";"PFOS";"Org";0.068344684;"ug/g ww whole fish";"+";"H";"H";"Full";"H";8670.51238667587;289;4;29;"M";"L"
"Belts Danish Coastal waters";"Biota";"PFOS";"Org";0.073948216;"ug/g ww whole fish";"+";"H";"H";"Full";"H";8670.51238667587;289;5;2;"M";"H"
"Belts Danish Coastal waters";"Biota";"PFOS";"Org";0.058624575;"ug/g ww whole fish";"+";"H";"H";"Full";"H";8670.51238667587;289;21;20;"H";"M"
"Belts Danish Coastal waters";"Biota";"PFOS";"Org";0.090118555;"ug/g ww whole fish";"+";"H";"H";"Full";"H";8670.51238667587;289;9;36;"L";"L"
"Belts Danish Coastal waters";"Biota";"SBD6";"Org";51.85497581;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";8670.51238667587;289;3;30;"M";"H"
"Belts Danish Coastal waters";"Biota";"SBD6";"Org";36.05896426;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";8670.51238667587;289;37;19;"H";"M"
"Belts Danish Coastal waters";"Biota";"SBD6";"Org";112.7513894;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";8670.51238667587;289;40;43;"M";"M"
"Belts Danish Coastal waters";"Biota";"SBD6";"Org";47.94411888;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";8670.51238667587;289;18;9;"H";"H"
"Belts Danish Coastal waters";"Biota";"TBTVDSI";"Org";3.3;"VDSI";"+";"H";"H";"Full";"H";8670.51238667587;289;11;40;"L";"M"
"Belts Danish Coastal waters";"Biota";"TBTVDSI";"Org";2.4;"VDSI";"+";"H";"H";"Full";"H";8670.51238667587;289;26;10;"H";"M"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";0.77;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;33;7;"L";"L"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";1.85;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;21;1;"M";"M"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";0.45;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;8;10;"M";"H"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";0.2;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;7;13;"L";"M"
"Belts Danish Coastal waters";"Sediment";"PB";"HM";0.3;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;26;26;"L";"M"
"Belts Danish Coastal waters";"Sediment";"PB";"HM";0.15;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;5;9;"L";"M"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";2.19;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;5;11;"M";"H"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";7.72;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;28;9;"M";"M"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";1.96;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;35;3;"M";"M"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";1.04;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;22;2;"H";"M"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";29.74;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;16;4;"L";"H"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.63;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;13;26;"H";"H"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.15;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;38;28;"H";"H"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.26;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;40;30;"L";"H"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.35;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;38;40;"H";"L"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.15;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;0;24;"M";"L"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.54;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;33;20;"H";"H"
"Belts Danish Coastal waters";"Biota";"CD";"HM";0.98;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;21;17;"M";"H"
"Belts Danish Coastal waters";"Biota";"CD";"HM";1.04;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;11;5;"H";"L"
"Belts Danish Coastal waters";"Biota";"CD";"HM";0.86;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;21;34;"M";"H"
"Belts Danish Coastal waters";"Biota";"CD";"HM";0.33;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;8;14;"L";"L"
"Belts Danish Coastal waters";"Biota";"CD";"HM";0.99;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;38;17;"M";"H"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";0.05;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;29;24;"L";"L"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.26;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;27;36;"L";"H"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.12;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;1;43;"L";"L"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.14;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;26;43;"H";"L"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.12;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;21;3;"L";"M"
